video_id,channel_title,category,log_views,chan_mean_oof,chan_mean_naive,chan_freq
C0KnxhQMLBU,ESPN,Sports,14.239012683308536,12.887404775304928,12.871441181165599,84
aCoDqL1dK9c,NikkieTutorials,Howto & Style,14.239661329927864,14.714325717700282,14.620814596611764,12
qoPCbB_uGMw,Inside Edition,News & Politics,14.240481517308815,12.702320626131042,12.692579448183357,15
CtBca6H6Teg,Screen Junkies,Film & Animation,14.2417836701609,14.304599180960045,14.303603152258713,25
9kF9xY74h-E,Dolan Twins,Comedy,14.243056089377362,13.366228666034168,14.356591998017425,2
zfeN12n3fxk,ThreadBanger,Howto & Style,14.243400342986131,13.38815433805818,13.599709813632431,9
t9GNMVfEiG4,You Suck At Cooking,Howto & Style,14.24421681930106,13.51083416622029,13.584172431528367,10
0vKkwJwL77Y,Screen Junkies,Film & Animation,14.244466255709584,14.266878524122616,14.303603152258713,25
g-F3A9n9BLg,The Late Late Show with James Corden,People & Blogs,14.245276657273717,13.690064723416715,13.565487541986279,46
lWHZKP6xXHU,itsAlexClark,Film & Animation,14.24532285315663,13.222787049070858,13.537406246915168,11
mhog9LEMCDY,todrickhall,Entertainment,14.245614943907205,11.449081046344242,12.148214520734982,4
aHR5vpQicqw,ABC Action News,Entertainment,14.24670189064332,13.201505883506904,13.549904552552377,3
-wuvYC0x5lc,TheEllenShow,Entertainment,14.248739330509736,13.674610218099264,13.630704438024322,74
CZ7KRUYQyKE,The 2x Family,People & Blogs,14.248935780089443,12.946110650285968,14.248935780089443,1
UCrMn3LLMVU,Rudimental,Music,14.249130894768554,14.458103512777948,14.388445973441483,3
4L-BPQVZYXM,Marques Brownlee,Science & Technology,14.249594868452204,14.26547847694145,14.266957195628072,22
Bz947t-vWzE,Team Edge,Comedy,14.250089709229147,14.266978140934624,14.365760917676097,6
MSzytvDsPfo,Saturday Night Live,Entertainment,14.251807444144106,14.025551415632712,13.802374104853937,35
yJqsPBWbtjk,Doctor Who,Entertainment,14.251926379415018,13.146113662699669,14.251926379415018,1
HEVonh8bjC0,Bleecker Street,Film & Animation,14.251982610188714,15.015292040413847,14.824464682857563,4
4csQhMHvQWk,TheEllenShow,Entertainment,14.252358047301106,13.707488171116994,13.630704438024322,74
2nshBD9EbxE,I Like To Make Stuff,Howto & Style,14.25245043103737,12.804860431639208,13.476271129991513,2
nukwmfb8bII,BuzzFeedVideo,People & Blogs,14.25271913520668,13.829017025209806,13.96932967891961,40
IOuFE-6Awos,TheEllenShow,Entertainment,14.253096232735412,13.670762618256436,13.630704438024322,74
JRocY48P0qA,Doug DeMuro,Autos & Vehicles,14.253184029558128,13.936007181820095,13.98619977313234,6
8O-ZUXGcuWU,Nintendo,Gaming,14.253191775966538,13.704480666988758,13.622284441472493,14
